array_type,algorithm_name,sortedness,inversions,unique_ratio,misplaced_count,variance,num_steps,execution_time,winner_against,won,run_id
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.007256031036376953,quantum_bogo_sort,0,2278
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,sleep_sort,1,2278
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.009216547012329102,quantum_bogo_sort,0,2279
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,sleep_sort,1,2279
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.007519245147705078,quantum_bogo_sort,0,2280
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,sleep_sort,1,2280
few_unique,bubble_sort,55.55555555555556,2270,0.1,89,8.5731,4951,0.0059816837310791016,insertion_sort,0,2281
few_unique,insertion_sort,55.55555555555556,2270,0.1,89,8.5731,2369,0.0022754669189453125,bubble_sort,1,2281
few_unique,bubble_sort,55.55555555555556,2096,0.1,90,7.4676,4951,0.005715847015380859,insertion_sort,0,2282
few_unique,insertion_sort,55.55555555555556,2096,0.1,90,7.4676,2195,0.001865386962890625,bubble_sort,1,2282
few_unique,bubble_sort,52.52525252525253,2345,0.1,93,7.5691,4951,0.004199028015136719,insertion_sort,0,2283
